SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
6.2745,0.0195312,-0.0156250,0.0117188,0.9927979,0.0104370,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.2957,0.0195312,-0.0156250,0.0117188,0.9927979,0.0104370,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3010,-0.0273438,0.0000000,-0.0078125,0.9927979,0.0104370,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3068,0.0000000,-0.0117188,0.0195312,0.9927979,0.0104370,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3110,0.0312500,0.0039062,0.0273438,0.9927979,0.0104370,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3157,-0.0273438,0.0000000,0.0117188,0.9927979,0.0104370,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3217,-0.0156250,-0.0156250,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3258,-0.0117188,0.0273438,-0.0195312,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3310,0.0156250,0.0000000,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3357,-0.0117188,0.0039062,0.0000000,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3417,0.0039062,0.0156250,0.0000000,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3460,0.0000000,0.0078125,-0.0390625,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3510,0.0273438,-0.0195312,-0.0390625,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3557,0.0234375,0.0078125,0.0117188,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3617,0.0000000,0.0078125,0.0195312,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3660,0.0000000,-0.0117188,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3710,-0.0117188,-0.0156250,0.0117188,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3795,-0.0156250,-0.0156250,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3832,-0.0117188,0.0039062,0.0000000,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3919,-0.0039062,-0.0195312,0.0195312,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.3990,-0.0039062,-0.0195312,0.0117188,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4017,-0.0039062,-0.0195312,0.0117188,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4062,0.0000000,0.0078125,-0.0468750,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4110,-0.0117188,0.0039062,-0.0273438,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4160,0.0000000,-0.0117188,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4207,-0.0312500,-0.0078125,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4260,0.0117188,-0.0078125,-0.0195312,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4310,-0.0117188,0.0039062,-0.0156250,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4360,-0.0039062,0.0000000,0.0000000,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4407,-0.0078125,-0.0078125,0.0312500,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4462,0.0390625,0.0390625,0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4510,0.0078125,0.0234375,-0.0078125,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4560,0.0078125,0.0156250,0.0312500,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4605,-0.0273438,0.0000000,-0.0156250,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4662,0.0039062,-0.0039062,0.0000000,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4710,0.0156250,-0.0234375,-0.0273438,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4758,0.0195312,-0.0156250,-0.0195312,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4801,0.0078125,-0.0195312,-0.0273438,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4857,0.0117188,-0.0117188,-0.0390625,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4910,-0.0234375,-0.0117188,-0.0273438,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
6.4990,0.0117188,-0.0312500,0.0117188,0.9927979,0.0104980,-0.0200195,0.1178589,0.0000000,0.0000000,0.0000000
