SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
28.2828,-0.0078125,0.0000000,0.0156250,0.7648926,-0.0006714,-0.0346069,-0.6432495,0.0000000,0.0000000,0.0000000
28.3428,0.0000000,0.0000000,-0.0039062,0.7648926,-0.0009766,-0.0341187,-0.6432495,0.0000000,0.0000000,0.0000000
28.4428,-0.0039062,-0.0078125,0.0078125,0.7648926,-0.0012817,-0.0336914,-0.6432495,0.0000000,0.0000000,0.0000000
28.5428,-0.0195312,0.0039062,0.0039062,0.7648926,-0.0015259,-0.0332642,-0.6432495,0.0000000,0.0000000,0.0000000
28.6426,-0.0078125,0.0078125,0.0039062,0.7649536,-0.0018311,-0.0328979,-0.6432495,0.0000000,0.0000000,0.0000000
28.7419,-0.0078125,0.0078125,0.0039062,0.7649536,-0.0020752,-0.0325317,-0.6432495,0.0000000,0.0000000,0.0000000
28.8418,0.0078125,-0.0039062,0.0078125,0.7649536,-0.0023193,-0.0322266,-0.6432495,0.0000000,0.0000000,0.0000000
28.9416,-0.0078125,0.0078125,-0.0039062,0.7649536,-0.0025024,-0.0319214,-0.6432495,0.0000000,0.0000000,0.0000000
29.0418,0.0000000,0.0000000,0.0156250,0.7650146,-0.0026855,-0.0316162,-0.6432495,0.0000000,0.0000000,0.0000000
29.1418,-0.0117188,-0.0039062,0.0078125,0.7650146,-0.0028687,-0.0313721,-0.6432495,0.0000000,0.0000000,0.0000000
29.2418,0.0039062,-0.0117188,-0.0039062,0.7650146,-0.0030518,-0.0310669,-0.6432495,0.0000000,0.0000000,0.0000000
29.3418,0.0000000,0.0078125,0.0000000,0.7650146,-0.0032349,-0.0308228,-0.6432495,0.0000000,0.0000000,0.0000000
29.4418,0.0000000,0.0000000,-0.0039062,0.7650146,-0.0034180,-0.0305786,-0.6432495,0.0000000,0.0000000,0.0000000
29.5416,-0.0039062,-0.0078125,-0.0039062,0.7650146,-0.0035400,-0.0303955,-0.6432495,0.0000000,0.0000000,0.0000000
29.6418,0.0078125,-0.0039062,0.0078125,0.7650146,-0.0036621,-0.0301514,-0.6432495,0.0000000,0.0000000,0.0000000
29.7418,0.0000000,0.0000000,-0.0039062,0.7650757,-0.0038452,-0.0299683,-0.6432495,0.0000000,0.0000000,0.0000000
29.8418,0.0000000,0.0000000,0.0156250,0.7650757,-0.0039673,-0.0297852,-0.6432495,0.0000000,0.0000000,0.0000000
29.9418,-0.0039062,-0.0078125,0.0078125,0.7650757,-0.0040894,-0.0296021,-0.6432495,0.0000000,0.0000000,0.0000000
