SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
9.2550,-0.0078125,-0.0136719,0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2680,-0.0078125,-0.0136719,0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2722,0.0000000,0.0136719,0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2770,0.0234375,-0.0019531,-0.0273438,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2824,-0.0156250,0.0097656,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2880,-0.0195312,0.0566406,0.0390625,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2917,-0.0039062,-0.0058594,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.2970,0.0039062,-0.0136719,-0.0273438,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3024,0.0039062,0.0097656,-0.0390625,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3080,-0.0117188,-0.0019531,-0.0273438,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3113,-0.0156250,-0.0097656,0.0117188,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3168,0.0039062,0.0214844,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3225,-0.0195312,0.0214844,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3268,-0.0156250,0.0097656,-0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3317,-0.0156250,-0.0097656,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3370,0.0000000,0.0019531,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3424,0.0078125,-0.0019531,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3480,-0.0039062,-0.0097656,0.0312500,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3517,0.0117188,-0.0058594,0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3570,0.0000000,-0.0253906,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3624,-0.0195312,-0.0214844,0.0312500,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3727,0.0000000,-0.0019531,0.0117188,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3772,-0.0039062,-0.0332031,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3824,-0.0429688,-0.0136719,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3870,-0.0312500,0.0253906,0.0117188,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3917,-0.0234375,0.0058594,-0.0546875,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.3968,0.0039062,-0.0292969,-0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4022,-0.0156250,0.0136719,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4070,0.0000000,0.0058594,0.0117188,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4115,-0.0117188,0.0019531,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4168,0.0273438,-0.0097656,0.0468750,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4222,-0.0195312,-0.0136719,0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4270,0.0468750,0.0097656,-0.0273438,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4318,-0.0039062,-0.0253906,-0.0156250,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4370,-0.0039062,-0.0019531,-0.0078125,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4422,-0.0273438,-0.0019531,-0.0156250,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4472,-0.0195312,0.0058594,0.0195312,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4517,0.0234375,0.0253906,0.0000000,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4570,-0.0156250,0.0136719,-0.0156250,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4622,-0.0234375,-0.0019531,0.0312500,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
9.4670,-0.0156250,-0.0058594,0.0312500,0.9573975,-0.0268555,-0.0513916,0.2828369,0.0000000,0.0000000,0.0000000
